"Ungrammatical_Statement","Standard_English"
"Some of the people on this team are experienced professionals.","Some people on this team are experienced professionals."
"Many of the items on this list are essential for a camping trip.","Many items on this list are essential for a camping trip."
"Few of the tools in this toolbox are rusty.","Few tools in this toolbox are rusty."
"All of the flowers in this garden are perennials.","All the flowers in this garden are perennials."
"Some of the members of this club are talented musicians.","Some members of this club are talented musicians."
"Many of the snacks in this vending machine are unhealthy.","Many snacks in this vending machine are unhealthy."
"Few of the questions on this quiz are difficult.","Few questions on this quiz are difficult."
"All of the phones in this store are the latest models.","All the phones in this store are the latest models."
"Some of the articles in this magazine are informative.","Some articles in this magazine are informative."
"Many of the movies on this streaming platform are critically acclaimed.","Many movies on this streaming platform are critically acclaimed."
"Few of the people in this town have ever seen snow.","Few people in this town have ever seen snow."
"All of the clothes in this shop are on sale.","All the clothes in this shop are on sale."
"I need to repeat again what I said earlier.","I need to repeat what I said earlier."
"She always over-exaggerates her problems all the time.","She always exaggerates her problems."
"Please RSVP as soon as possible.","Please RSVP."
"The final outcome will be the ultimate result.","The outcome will be the final result."
"The reason why he's successful is because he works hard.","He's successful because he works hard."
"This is an unexpected surprise for me.","This is a surprise for me."
"The period of time when dinosaurs existed was long ago.","The time when dinosaurs existed was long ago."
"They combined together their resources to achieve their goal.","They combined their resources to achieve their goal."
"The pizza is divided into individual slices for each person.","The pizza is divided into slices for each person."
"He was very honest and truthful when he spoke.","He was very honest when he spoke."
"I am absolutely certain and sure about my decision.","I am absolutely certain about my decision."
"The reason for the delay is due to the weather.","The delay is due to the weather."
"The meeting was held at 3 PM in the afternoon.","The meeting was held at 3 PM."
"She is a female woman who works as a nurse.","She is a woman who works as a nurse."
"The baby kitten is so small and tiny.","The baby kitten is so small."
"The end result of the project was very successful.","The result of the project was very successful."
"The new innovation in technology has made our lives easier.","The innovation in technology has made our lives easier."
"He asked me a question and then repeated it again.","He asked me a question and then repeated it."
"They both met each other at the same time.","They met each other at the same time."
"The student was very enthusiastic and eager to learn.","The student was very enthusiastic to learn."
"The exact same thing happened to me last week.","The same thing happened to me last week."
"The manager carefully analyzed and examined the report.","The manager carefully analyzed the report."
"I have already previously mentioned this issue.","I have already mentioned this issue."
"The computer software program is quite complex.","The computer software is quite complex."
"He made a summary and a brief overview of the meeting.","He made a summary of the meeting."
"The weather outside is cold and chilly today.","The weather outside is cold today."
"I will return back to the office after lunch.","I will return to the office after lunch."
"There are various different ways to approach this problem.","There are various ways to approach this problem."
"She spoke very quietly and softly during her presentation.","She spoke very quietly during her presentation."
"He is tall in height and has brown hair.","He is tall and has brown hair."
"The final conclusion of the experiment was conclusive.","The conclusion of the experiment was conclusive."
"This is a true fact that cannot be disputed.","This is a fact that cannot be disputed."
"The CEO presented a brief summary and a concise overview.","The CEO presented a brief summary."
"He was completely devastated and heartbroken.","He was completely devastated."
"She was angry and furious at the situation.","She was furious at the situation."
"The store sells various different kinds of fruits and vegetables.","The store sells various kinds of fruits and vegetables."
"He climbed up to the top of the mountain peak.","He climbed to the top of the mountain peak."
"The small little puppy was playing in the yard.","The small puppy was playing in the yard."
"The book provides a comprehensive overview and a complete summary.","The book provides a comprehensive overview."
"The movie was very funny and humorous.","The movie was very funny."
"The criminal was found guilty and convicted of the crime.","The criminal was found guilty of the crime."
"The room was completely empty and vacant.","The room was completely empty."
"The painting is an original copy of the famous artist's work.","The painting is an original work of the famous artist."
"The temperature dropped suddenly and abruptly.","The temperature dropped suddenly."
"The restaurant serves a wide variety of different dishes.","The restaurant serves a wide variety of dishes."
"The car accident happened at 7 PM in the evening.","The car accident happened at 7 PM."
"He is a young boy of 10 years old.","He is a 10-year-old boy."
"The teacher was very patient and understanding with the students.","The teacher was very patient with the students."
"The new employee is very competent and capable.","The new employee is very competent."
"The process consists of mixin' the ingredients and bakin' the cake.","The process consists of mixing the ingredients and baking the cake."
"The manager requested that John submits his report ASAP.","The manager requested that John submit his report as soon as possible."
"I'm sorry to inform you that the event's been canceled due to unforeseen circumstances.","I regret to inform you that the event has been canceled due to unforeseen circumstances."
"Could you gimme a hand with this heavy box?","Could you give me a hand with this heavy box?"
"You shoulda been more careful while handling the equipment.","You should have been more careful while handling the equipment."
"Please refrain from using slang and abbrevs in your writing.","Please refrain from using slang and abbreviations in your writing."
"The dude was caught red-handed stealin' company property.","The individual was caught red-handed stealing company property."
"Kindly refrain from makin' noise during the presentation.","Please refrain from making noise during the presentation."
"What's the main purpose of this sophisticated machine?","What is the primary purpose of this sophisticated machine?"
"I ain't got no idea about how this happened.","I have no idea how this happened."
"Lemme know if you need any assistance with the project.","Let me know if you need any assistance with the project."
"The new intern is a quick learner and always keen on helpin' others.","The new intern is a quick learner and always eager to help others."
"The board members agreed that the proposed plan was legit.","The board members agreed that the proposed plan was legitimate."
"The CEO urged the employees to be more proactive and step up their game.","The CEO urged the employees to be more proactive and improve their performance."
"The athletes have been trainin' hard for the upcoming competition.","The athletes have been training hard for the upcoming competition."
"The new regulations will help in reducin' pollution and conservin' natural resources.","The new regulations will help in reducing pollution and conserving natural resources."
"The new software update's gonna fix the bugs and improve performance.","The new software update will fix the bugs and improve performance."
"The politician's speech was full of empty promises and a bunch of baloney.","The politician's speech was full of empty promises and insincerity."
"The movie was so amazeballs that I watched it twice.","The movie was so amazing that I watched it twice."
"The company is workin' on developin' eco-friendly products.","The company is working on developing eco-friendly products."
"The government is focused on improvin' public services and infrastructure.","The government is focused on improving public services and infrastructure."
"The new employee handbook contains important info 'bout company policies and procedures.","The new employee handbook contains important information about company policies and procedures."
"The scientific community is workin' on finding a cure for the disease.","The scientific community is working on finding a cure for the disease."
"The artwork displayed at the exhibition was simply breathtakin'.","The artwork displayed at the exhibition was simply breathtaking."
"The committee is responsible for organizin' the event and managin' the budget.","The committee is responsible for organizing the event and managing the budget."
"The company's mission is to make a positive impact on society by providin' quality products and services.","The company's mission is to make a positive impact on society by providing quality products and services."
"She go store buy bread.","She went to the store to buy bread."
"He fastly ran the race.","He ran the race quickly."
"They was late for meeting.","They were late for the meeting."
"I seen a movie last night.","I saw a movie last night."
"The books is on the desk.","The books are on the desk."
"She don't like coffee.","She doesn't like coffee."
"The dog chased it's tail.","The dog chased its tail."
"He has went to the store.","He has gone to the store."
"Their going to the concert.","They're going to the concert."
"The cat had ran away.","The cat had run away."
"The car needs washed.","The car needs to be washed."
"My friend they play basketball.","My friends play basketball."
"He be at the party tonight.","He will be at the party tonight."
"The cake need more sugar.","The cake needs more sugar."
"The boys wants to play soccer.","The boys want to play soccer."
"She must of forgotten her keys.","She must have forgotten her keys."
"The dog layed on the floor.","The dog lay on the floor."
"He could of been a great leader.","He could have been a great leader."
"The computer is slow I need a new one.","The computer is slow; I need a new one."
"The plane it's leaving in two hours.","The plane is leaving in two hours."
"Me and her went to the movies.","She and I went to the movies."
"I should of studied harder.","I should have studied harder."
"The concert was very loud it hurt my ears.","The concert was very loud; it hurt my ears."
"He needs learn to cook.","He needs to learn to cook."
"I wants to see the new movie.","I want to see the new movie."
"The cat hid under the table because the dog barked.","The cat hid under the table because the dog was barking."
"The childrens went to the park.","The children went to the park."
"The girl hair was long and curly.","The girl's hair was long and curly."
"He plays guitar good.","He plays the guitar well."
"She's been to Paris last year.","She went to Paris last year."
"The man who dropped his wallet I returned it to him.","I returned the wallet to the man who dropped it."
"The cake is needing more time to bake.","The cake needs more time to bake."
"She very tired after work.","She was very tired after work."
"They didn't seen the sign.","They didn't see the sign."
"The car was drove by him.","The car was driven by him."
"The child was ate the candy.","The child ate the candy."
"The trees was cut down.","The trees were cut down."
"I'm excited for going on vacation.","I'm excited about going on vacation."
"He doesn't wants to eat.","He doesn't want to eat."
"The girl draw a picture.","The girl drew a picture."
"She has ran three miles.","She has run three miles."
"The book that I found it was interesting.","The book that I found was interesting."
"The sun shines to bright.","The sun shines too bright."
"The boy broke him arm.","The boy broke his arm."
"She don't know how to swim.","She doesn't know how to swim."
"The dog chases it's tail.","The dog chases its tail."
"I would have called you if I knew your number.","I would have called you if I had known your number."
"He could have bought the house if he has enough money.","He could have bought the house if he had enough money."
"She might have come if you will invite her.","She might have come if you had invited her."
"Apples are more better than oranges.","Apples are better than oranges."
"Smartphones are becoming more smarter.","Smartphones are becoming smarter."
"My cat is more faster than your dog.","My cat is faster than your dog."
"The movie was more worse than the book.","The movie was worse than the book."
"John is a better cook than a musician Sam.","John is a better cook than Sam is a musician."
"The meal was more tastier than what I expected.","The meal was tastier than what I expected."
"It's more colder in Canada than it is in California.","It's colder in Canada than it is in California."
"The water is more deeper here than over there.","The water is deeper here than over there."
"She's more happier when she's with her friends.","She's happier when she's with her friends."
"This game is more easier than the last one.","This game is easier than the last one."
"The new model is more lighter than the previous one.","The new model is lighter than the previous one."
"The dress is less prettier than the one she wore yesterday.","The dress is less pretty than the one she wore yesterday."
"The car is more safer than a motorcycle.","The car is safer than a motorcycle."
"The old house is less bigger than the new one.","The old house is smaller than the new one."
"My coffee is more hotter than yours.","My coffee is hotter than yours."
"The meeting was less longer than I anticipated.","The meeting was shorter than I anticipated."
"The concert was more louder than I expected.","The concert was louder than I expected."
"The weather is more warmer in the south.","The weather is warmer in the south."
"The journey is more longer by train than by car.","The journey is longer by train than by car."
"The TV show is less funnier than the original.","The TV show is less funny than the original."
"This chocolate is more sweeter than the other one.","This chocolate is sweeter than the other one."
"The exam was less harder than I thought.","The exam was easier than I thought."
"He is more lazier than his brother.","He is lazier than his brother."
"The new manager is less stricter than the old one.","The new manager is less strict than the old one."
"My new phone is more thinner than my old one.","My new phone is thinner than my old one."
"The beach is more cleaner than the lake.","The beach is cleaner than the lake."
"The student is more smarter than the teacher.","The student is smarter than the teacher."
"The new employee is more punctual than the old one.","The new employee is more punctual than the old one."
"Her singing is less better than her dancing.","Her singing is not as good as her dancing."
"The hotel room is more smaller than I expected.","The hotel room is smaller than I expected."
"The bicycle is more cheaper than the car.","The bicycle is cheaper than the car."
"The soup is more saltier than the salad.","The soup is saltier than the salad."
"The presentation was more boring than the lecture.","The presentation was more boring than the lecture."
"The weather is less hotter today than yesterday.","The weather is cooler today than yesterday."
"His jokes are more funnier than hers.","His jokes are funnier than hers."
"The mountain is more higher than the hill.","The mountain is higher than the hill."
"The train is more faster than the bus.","The train is faster than the bus."
"His writing is more worse than his speaking.","His writing is worse than his speaking."
"How you is doing today?","How are you doing today?"
"She don't know the answer to the question.","She doesn't know the answer to the question."
"I am not can swim in the pool.","I cannot swim in the pool."
"Does he has a new car?","Does he have a new car?"
"It are important to wash your hands regularly.","It is important to wash your hands regularly."
"He were at the party last night.","He was at the party last night."
"They was planning to go on a trip.","They were planning to go on a trip."
"She am studying for her exams.","She is studying for her exams."
"I have been not feeling well lately.","I have not been feeling well lately."
"She are going to the store for groceries.","She is going to the store for groceries."
"The book do not belong to me.","The book does not belong to me."
"The computer be not working properly.","The computer is not working properly."
"I did not went to the concert last weekend.","I did not go to the concert last weekend."
"The cat has eaten it food.","The cat has eaten its food."
"She do her homework every day.","She does her homework every day."
"He have a meeting at 10 o'clock.","He has a meeting at 10 o'clock."
"I wants to learn how to play the guitar.","I want to learn how to play the guitar."
"The dog was chasing it tail.","The dog was chasing its tail."
"The cake needs to be baking for 30 minutes.","The cake needs to be baked for 30 minutes."
"The flowers is growing in the garden.","The flowers are growing in the garden."
"I do not likes to eat vegetables.","I do not like to eat vegetables."
"She are a great dancer.","She is a great dancer."
"The book it's on the shelf.","The book is on the shelf."
"They does not understand the assignment.","They do not understand the assignment."
"The sun are shining brightly today.","The sun is shining brightly today."
"He have a collection of rare coins.","He has a collection of rare coins."
"The team has not been practice enough.","The team has not been practicing enough."
"The city's population be growing rapidly.","The city's population is growing rapidly."
"She does not has any siblings.","She does not have any siblings."
"The movie am starting in five minutes.","The movie is starting in five minutes."
"The car it's parked in the driveway.","The car is parked in the driveway."
"She don't like to watch horror movies.","She doesn't like to watch horror movies."
"The company be launching a new product.","The company is launching a new product."
"The flowers has bloomed in the spring.","The flowers bloom in the spring."
"He do not want to go to the dentist.","He does not want to go to the dentist."
"The students has to complete their assignments.","The students have to complete their assignments."
"The cake are ready to be served.","The cake is ready to be served."
"I did not seen him at the party.","I did not see him at the party."
"The birds is flying south for the winter.","The birds are flying south for the winter."
"She am not interested in politics.","She is not interested in politics."
"The store have a sale on electronics.","The store has a sale on electronics."
"He were helping his friend move furniture.","He was helping his friend move furniture."
"The children do their chores every day.","The children do their chores every day."
"The temperature have dropped below freezing.","The temperature has dropped below freezing."
"I does not know how to solve this problem.","I do not know how to solve this problem."
"The car it's making a strange noise.","The car is making a strange noise."
"The plants needs to be watered every day.","The plants need to be watered every day."
"I don't know nothing about cars.","I don't know anything about cars."
"She didn't never visit the museum.","She never visited the museum."
"He can't play no instruments.","He can't play any instruments."
"I didn't see nobody at the party.","I didn't see anybody at the party."
"There isn't no reason to worry.","There is no reason to worry."
"He didn't have no time to study.","He didn't have any time to study."
"They haven't never been to Italy.","They have never been to Italy."
"She can't find her keys nowhere.","She can't find her keys anywhere."
"I won't do nothing to help him.","I won't do anything to help him."
"There weren't no snacks at the event.","There were no snacks at the event."
"I haven't got no money to spend.","I haven't got any money to spend."
"She didn't buy none of the books.","She didn't buy any of the books."
"You can't eat no ice cream before dinner.","You can't eat any ice cream before dinner."
"I couldn't find no information on the topic.","I couldn't find any information on the topic."
"They don't have no pets at home.","They don't have any pets at home."
"He hasn't read not a single book.","He hasn't read a single book."
"I won't tell nobody your secret.","I won't tell anybody your secret."
"They didn't make no progress on the project.","They didn't make any progress on the project."
"I don't want nothing for my birthday.","I don't want anything for my birthday."
"She didn't learn nothing from the course.","She didn't learn anything from the course."
"He doesn't like no vegetables.","He doesn't like any vegetables."
"I didn't find no errors in the report.","I didn't find any errors in the report."
"They don't have no plans for the weekend.","They don't have any plans for the weekend."
"She can't wear no jewelry at work.","She can't wear any jewelry at work."
"He didn't write no emails today.","He didn't write any emails today."
"I won't listen to no more excuses.","I won't listen to any more excuses."
"They didn't find no evidence at the crime scene.","They didn't find any evidence at the crime scene."
"She doesn't like no movies with violence.","She doesn't like any movies with violence."
"I didn't hear nothing from her.","I didn't hear anything from her."
"There isn't no milk in the fridge.","There is no milk in the fridge."
"He can't drink no alcohol tonight.","He can't drink any alcohol tonight."
"I won't accept no apologies.","I won't accept any apologies."
"She didn't give no explanation.","She didn't give any explanation."
"They don't know nothing about the new policy.","They don't know anything about the new policy."
"He didn't eat no breakfast this morning.","He didn't eat any breakfast this morning."
"I can't find no solutions to this problem.","I can't find any solutions to this problem."
"They didn't hire no new employees.","They didn't hire any new employees."
"She doesn't want no dessert.","She doesn't want any dessert."
"I didn't take no pictures on my trip.","I didn't take any pictures on my trip."
"He doesn't have no siblings.","He doesn't have any siblings."
"I won't watch no more TV tonight.","I won't watch any more TV tonight."
"They didn't pack no extra clothes.","They didn't pack any extra clothes."
"She doesn't own no fancy clothes.","She doesn't own any fancy clothes."
"I didn't meet no interesting people at the conference.","I didn't meet any interesting people at the conference."
"He doesn't read no newspapers.","He doesn't read any newspapers."
"I can't remember no passwords.","I can't remember any passwords."
"They don't take no vacations.","They don't take any vacations."
"She didn't speak no foreign languages.","She didn't speak any foreign languages."
"I haven't received no packages.","I haven't received any packages."
"He can't lift no heavy weights.","He can't lift any heavy weights."
"I went to the store... bought milk.","I went to the store and bought milk."
"She was so tired... couldn't keep her eyes open.","She was so tired that she couldn't keep her eyes open."
"Can't believe... leaving so soon.","I can't believe you're leaving so soon."
"The movie was great... best I've seen in a while.","The movie was great; it's the best I've seen in a while."
"...is not the way to handle this problem.","That is not the way to handle this problem."
"...think we should take a break.","I think we should take a break."
"He's a doctor... also a talented musician.","He's a doctor and also a talented musician."
"She loves to travel... visited over 20 countries.","She loves to travel and has visited over 20 countries."
"My favorite ice cream flavors are... chocolate and vanilla.","My favorite ice cream flavors are chocolate and vanilla."
"The team worked hard... completed the project on time.","The team worked hard and completed the project on time."
"I enjoy reading books... history and science fiction.","I enjoy reading books about history and science fiction."
"Didn't expect... see you here.","I didn't expect to see you here."
"The game was intense... went into overtime.","The game was intense and went into overtime."
"He studied for weeks... failed the exam.","He studied for weeks but still failed the exam."
"The new software is easy to use... efficient.","The new software is easy to use and efficient."
"The meeting went well... discussed important topics.","The meeting went well because we discussed important topics."
"The book is long... very interesting.","The book is long but very interesting."
"The new policy is unpopular... likely to change.","The new policy is unpopular and is likely to change."
"The recipe is simple... requires few ingredients.","The recipe is simple and requires few ingredients."
"The hotel is luxurious... expensive.","The hotel is luxurious but expensive."
"Ain't no way I'm going to that party.","There's no way I'm going to that party."
"She don't know nothing about them computers.","She doesn't know anything about those computers."
"We was walking to the store when it started raining.","We were walking to the store when it started raining."
"Me and him went to the movies last night.","He and I went to the movies last night."
"Could you gimme some advice on this essay?","Could you give me some advice on this essay?"
"Lemme know when you're ready to leave.","Let me know when you're ready to leave."
"I dunno where the keys are.","11. I don't know where the keys are."
"You got any idea how to fix this?","Do you have any idea how to fix this?"
"The new hire's a real whiz kid in Python coding.","The new hire is highly skilled in Python programming."
"She's the kinda person who's always late.","She's the type of person who's always late."
"They be doing the most to impress the boss.","They are always going above and beyond to impress the boss."
"The photog took some great snaps at the wedding.","The photographer took some great photos at the wedding."
"You oughta try this new sushi place.","You should try this new sushi place."
"He's gonna need a new hard drive for his comp.","He's going to need a new hard drive for his computer."
"Can't you just chill for a sec?","Can't you just relax for a moment?"
"The client's server got a DDoS attack last night.","The client's server experienced a distributed denial-of-service attack last night."
"The company's CEO is a real hardass.","The company's CEO is very strict."
"I dunno if I can make it to the party tonight.","I don't know if I can make it to the party tonight."
"They're gonna demo their new product at the expo.","They're going to demonstrate their new product at the expo."
"You wanna grab some dinner later?","Do you want to have dinner later?"
"The plumber had to fix the busted pipe.","The plumber had to repair the broken pipe."
"I gotta get this report done by tomorrow.","I have to finish this report by tomorrow."
"That rollercoaster was hella fun!","That rollercoaster was extremely fun!"
"They didn't do jack to help with the project.","They didn't do anything to help with the project."
"She's been feeling kinda meh lately.","She's been feeling somewhat indifferent lately."
"The cop gave him a ticket for speeding.","The police officer gave him a ticket for speeding."
"The hacker used a zero-day exploit to compromise the system.","The hacker used an unknown vulnerability to compromise the system."
"She's got mad skills on the basketball court.","She has exceptional skills on the basketball court."
"I'm gonna head to the gym after work.","I'm going to the gym after work."
"He's got a lot of irons in the fire right now.","He's currently involved in many projects."
"The boss ain't gonna be happy about this.","The boss isn't going to be happy about this."
"Can you send me the deets for the event?","Can you send me the details for the event?"
"The marketing team's gonna brainstorm some new ideas.","The marketing team is going to brainstorm some new ideas."
"You shoulda seen the look on her face!","You should have seen the look on her face!"
"The new intern's a total go-getter.","The new intern is highly motivated."
"The chef cooked up some delish dishes.","The chef prepared some delicious dishes."
"The athlete's been hitting the gym like crazy.","The athlete has been training intensely at the gym."
"That movie was a total snoozefest.","That movie was extremely boring."
"The IT guy had to come fix the glitchy software.","The IT specialist had to come repair the malfunctioning software."
"He's got a knack for fixing busted tech.","He has a talent for repairing broken technology."
"The artist's new album is gonna drop next week.","The artist's new album is going to be released next week."
"He's at end of his rope.","He's at the end of his rope."
"She got quick and the dead.","She was quick and the dead."
"That's music my ears.","That's music to my ears."
"She bite off more than chew.","She bit off more than she could chew."
"Your guess good as mine.","Your guess is as good as mine."
"You're barking the wrong tree.","You're barking up the wrong tree."
"He's just tip of the iceberg.","He's just the tip of the iceberg."
"He's trying to reinvent wheel.","He's trying to reinvent the wheel."
"They putting all eggs one basket.","They are putting all their eggs in one basket."
"You can't have cake eat it too.","You can't have your cake and eat it too."
"He's burning candle both ends.","He's burning the candle at both ends."
"She's apple of her father's eye.","She's the apple of her father's eye."
"The team went back drawing board.","The team went back to the drawing board."
"It's blessing disguise.","It's a blessing in disguise."
"She's trying to find needle haystack.","She's trying to find a needle in a haystack."
"You're comparing apples oranges.","You're comparing apples to oranges."
"That's elephant room.","That's the elephant in the room."
"They have axe grind.","They have an axe to grind."
"Don't count chickens they hatch.","Don't count your chickens before they hatch."
"He's chip off old block.","He's a chip off the old block."
"We need think outside box.","We need to think outside the box."
"He's dime a dozen.","He's a dime a dozen."
"Actions louder than words.","Actions speak louder than words."
"Opportunity knocks once.","Opportunity only knocks once."
"I've got bigger fish fry.","I've got bigger fish to fry."
"It's best both worlds.","It's the best of both worlds."
"She's caught between rock hard place.","She's caught between a rock and a hard place."
"It's calm before storm.","It's the calm before the storm."
"They're cutting their nose spite face.","They're cutting off their nose to spite their face."
"He's devil's advocate.","He's playing devil's advocate."
"He's adding fuel fire.","He's adding fuel to the fire."
"He's giving cold shoulder.","He's giving her the cold shoulder."
"It's hard nut crack.","It's a hard nut to crack."
"He's hitting two birds stone.","He's hitting two birds with one stone."
"They're jumping the bandwagon.","They're jumping on the bandwagon."
"She's making mountain molehill.","She's making a mountain out of a molehill."
"He's not sharpest tool shed.","He's not the sharpest tool in the shed."
"It's raining cats dogs.","It's raining cats and dogs."
"They're reading between lines.","They're reading between the lines."
"He's taking bull horns.","He's taking the bull by the horns."
"They're throwing baby bathwater.","They're throwing the baby out with the bathwater."
"Time flies you fun.","Time flies when you're having fun."
"He's turning blind eye.","He's turning a blind eye."
"It's whole new ball game.","It's a whole new ball game."
"That's wolf sheep's clothing.","That's a wolf in sheep's clothing."
"He's wearing heart sleeve.","He's wearing his heart on his sleeve."
"You can't judge book cover.","You can't judge a book by its cover."
"My bro just joined the USMC yday.","My brother just joined the United States Marine Corps yesterday."
"The engine has 200hp and 300lb-ft tq.","The engine has 200 horsepower and 300 pound-feet of torque."
"The doc prescribed me NSAIDs for my pain.","The doctor prescribed me nonsteroidal anti-inflammatory drugs for my pain."
"Their business model involves B2B and B2C svs.","Their business model involves business-to-business and business-to-consumer services."
"The H2O lvl in the tank is getting low.","The water level in the tank is getting low."
"I think they use AI and ML in their app.","I think they use artificial intelligence and machine learning in their app."
"They're going to visit the MOMA nxt wk.","They're going to visit the Museum of Modern Art next week."
"My fav band is playing at SXSW this yr.","My favorite band is playing at South by Southwest this year."
"The atm in the mall is out of svc.","The automated teller machine in the mall is out of service."
"The govt is considering new reg's for CO2 ems.","The government is considering new regulations for carbon dioxide emissions."
"I need to buy a new SSD for my cmp.","I need to buy a new solid-state drive for my computer."
"The CPU and GPU of the sys are quite powerful.","The central processing unit and graphics processing unit of the system are quite powerful."
"I'll be traveling to the UK and the EU nxt mth.","I'll be traveling to the United Kingdom and the European Union next month."
"He'll be attending the conf on IoT and 5G tech.","He'll be attending the conference on the Internet of Things and 5G technology."
"The recipe calls for 1tsp of salt and 2tbsp of sugar.","The recipe calls for 1 teaspoon of salt and 2 tablespoons of sugar."
"The car's fuel eff is rated at 35mpg on hwy.","The car's fuel efficiency is rated at 35 miles per gallon on the highway."
"The new OS update includes many UX/UI impr.","The new operating system update includes many user experience/user interface improvements."
"The article was pub'd in the NYT last wk.","The article was published in the New York Times last week."
"The rpt states that GDP growth has slowed.","The report states that gross domestic product growth has slowed."
"The sci study focused on DNA and RNA strc.","The scientific study focused on deoxyribonucleic acid and ribonucleic acid structures."
"They're launching a new SaaS product nxt qtr.","They're launching a new Software as a Service product next quarter."
"The avg temp in the city is 75°F in the sum.","The average temperature in the city is 75 degrees Fahrenheit in the summer."
"He's an expert in SEO and SEM strat.","He's an expert in search engine optimization and search engine marketing strategies."
"The team is focusing on R&D for the proj.","The team is focusing on research and development for the project."
"The UN has declared a new initiative for SDGs.","The United Nations has declared a new initiative for Sustainable Development Goals."
"The hotel offers free Wi-Fi and a cont'l bfast.","The hotel offers free wireless internet and a continental breakfast."
"The ct scan revealed no abnormalities.","The computed tomography scan revealed no abnormalities."
"The pkg includes a tkt to the theme park and htl stay.","The package includes a ticket to the theme park and hotel stay."
"The stm't from the CEO addressed the recent prblms.","The statement from the chief executive officer addressed the recent problems."
"The co is implementing new CSR policies.","The company is implementing new corporate social responsibility policies."
"She's a memb of the PTA at her child's school.","She's a member of the Parent-Teacher Association at her child's school."
"The weather rpt calls for rain tmrw.","The weather report calls for rain tomorrow."
"The doc will perform an MRI to check for any issues.","The doctor will perform a magnetic resonance imaging to check for any issues."
"The smrtph has a 5.5 OLED display.","The smartphone has a 5.5-inch organic light-emitting diode display."
"The new bldg will be LEED certified.","The new building will be Leadership in Energy and Environmental Design certified."
"The recipe calls for 1lb of grd beef.","The recipe calls for 1 pound of ground beef."
"The new law will be eff from Jan 1st.","The new law will be effective from January 1st."
"The fin'l stmnts must be audited by a CPA.","The financial statements must be audited by a Certified Public Accountant."
"I don't know where it's key is.","I don't know where its key is."
"She's phone is out of battery.","Her phone is out of battery."
"Their's a new movie coming out this week.","There's a new movie coming out this week."
"It's not easy to decide which's the best option.","It's not easy to decide which is the best option."
"They're dog has been missing since yesterday.","Their dog has been missing since yesterday."
"The company is known for it's innovations.","The company is known for its innovations."
"It's color is fading after multiple washes.","Its color is fading after multiple washes."
"The cat hurt it's paw while climbing the tree.","The cat hurt its paw while climbing the tree."
"She's book is on the table.","Her book is on the table."
"The flowers in the garden lost they're color.","The flowers in the garden lost their color."
"He's car needs a new engine.","His car needs a new engine."
"The restaurant is known for they're pizza.","The restaurant is known for their pizza."
"She's job is to manage the team's schedule.","Her job is to manage the team's schedule."
"She's shoes are the latest fashion.","Her shoes are the latest fashion."
"The team lost they're motivation after the loss.","The team lost their motivation after the loss."
"Their's a problem with the computer's software.","There's a problem with the computer's software."
"Her's idea was innovative and successful.","Her idea was innovative and successful."
"He's watch is expensive and luxurious.","His watch is expensive and luxurious."
"She's earrings are made of gold.","Her earrings are made of gold."
"The artist is famous for they're unique style.","The artist is famous for their unique style."
"Their's no denying that the Earth is round.","There's no denying that the Earth is round."
"She's hair is long and curly.","Her hair is long and curly."
"The man which bought the car was happy.","The man who bought the car was happy."
"The cake I ate it for dessert was delicious.","The cake I ate for dessert was delicious."
"I met a woman has three dogs.","I met a woman who has three dogs."
"This is the book I told you about.","This is the book that I told you about."
"People live in the city are usually busy.","People who live in the city are usually busy."
"The table I bought it last week is damaged.","The table that I bought last week is damaged."
"She's the teacher teaches math at our school.","She's the teacher who teaches math at our school."
"The store which sells electronics is closing down.","The store that sells electronics is closing down."
"I have a friend is a doctor.","I have a friend who is a doctor."
"The movie we watched yesterday was boring.","The movie that we watched yesterday was boring."
"The artist paintings are in the gallery is very talented.","The artist whose paintings are in the gallery is very talented."
"The car I sold it last year was my favorite.","The car that I sold last year was my favorite."
"The conference people were discussing climate change ended yesterday.","The conference where people were discussing climate change ended yesterday."
"The hotel I stayed in it had great service.","The hotel where I stayed had great service."
"The phone which I found on the street belongs to Sarah.","The phone that I found on the street belongs to Sarah."
"The dress she wore it to the party was stunning.","The dress that she wore to the party was stunning."
"The restaurant we ate dinner is famous for its seafood.","The restaurant where we ate dinner is famous for its seafood."
"The book I'm reading it is about mindfulness.","The book that I'm reading is about mindfulness."
"The building the construction site is very tall.","The building at the construction site is very tall."
"The person I talked to him on the phone was very helpful.","The person to whom I talked on the phone was very helpful."
"The computer I'm using it for work needs an upgrade.","The computer that I'm using for work needs an upgrade."
"The museum exhibits ancient artifacts is in London.","The museum that exhibits ancient artifacts is in London."
"The town I grew up is small and quiet.","The town where I grew up is small and quiet."
"The company I work for it has a great benefits package.","The company for which I work has a great benefits package."
"The actor won an award is known for his versatility.","The actor who won an award is known for his versatility."
"The shoes she bought them last month are already worn out.","The shoes that she bought last month are already worn out."
"The bike which I ride to work is green.","The bike that I ride to work is green."
"The cafe I had breakfast was cozy.","The cafe where I had breakfast was cozy."
"The team I support it is from my hometown.","The team that I support is from my hometown."
"The flowers I planted them last spring have bloomed.","The flowers that I planted last spring have bloomed."
"The author book I'm reading is from Ireland.","The author whose book I'm reading is from Ireland."
"The meeting will be held at the office has a large conference room.","The meeting will be held at the office that has a large conference room."
